FID,POINT_X,POINT_Y,PPA,ID
"0",383115.001613,4291131.00554,1,"1"
"1",380389.001613,4288931.00554,1,"2"
"2",381341.001613,4290631.00554,1,"3"
"3",386935.001613,4388991.00552,1,"4"
"4",364543.001618,4358876.00553,1,"5"
"5",339320.001621,4308321.00554,1,"6"
"6",348151.00162,4316783.00554,1,"7"
"7",374692.001614,4298414.00554,1,"8"
"8",338543.001622,4307653.00554,1,"9"
"9",311303.538834,4168117.38098,1,"10"
"10",305664.834661,4173678.29699,1,"11"
"11",273565.001635,4341597.00553,1,"12"
"12",328752.40557,4341474.12661,1,"13"
"13",185355.509846,4387548.4561,1,"14"
"14",317137.451307,4305830.89723,1,"15"
"15",308273.069892,4311020.00652,1,"16"
"16",241764.061619,4326726.93923,1,"17"
"17",359837.366406,4312099.77093,1,"18"
"18",329610.42441,4310312.15038,1,"19"
"19",196079.184577,4374124.99601,1,"20"
"20",328630.633689,4312526.66547,1,"21"
"21",330850.304506,4311672.20277,1,"22"
"22",351466.003238,4307817.01107,1,"23"
"23",324357.937735,4238071.24179,1,"24"
"24",291099.447207,4281420.83247,1,"25"
"0",429627.198753,4208484.41324,0,"26"
"1",414683.888693,4222670.9974,0,"27"
"2",332640.884482,4215024.23004,0,"28"
"3",394722.869263,4244584.79263,0,"29"
"4",432687.560549,4188709.29514,0,"30"
"5",375609.899462,4193349.4155,0,"31"
"6",261994.877613,4177115.25031,0,"32"
"7",252354.221966,4170549.37116,0,"33"
"8",249350.983227,4180639.21564,0,"34"
"9",279811.563556,4171130.95979,0,"35"
"10",271591.205891,4171842.58212,0,"36"
"11",268229.002987,4185919.71697,0,"37"
"12",344443.101909,4350556.05912,0,"38"
"13",348585.637936,4353577.50349,0,"39"
"14",298248.451895,4338280.93979,0,"40"
"15",323094.209833,4331960.65546,0,"41"
"16",357533.23481,4340625.65148,0,"42"
"17",322604.668428,4351657.27315,0,"43"
"18",422718.019212,4292870.78615,0,"44"
"19",410011.566845,4316105.50408,0,"45"
"20",431712.954099,4375182.47954,0,"46"
"21",440670.744571,4337791.75648,0,"47"
"22",407143.588584,4332129.32642,0,"48"
"23",440513.530355,4351768.48396,0,"49"
"24",400027.281343,4404510.84801,0,"50"
"25",395287.407173,4413311.03315,0,"51"
"26",428157.896193,4387876.57093,0,"52"
"27",392965.954668,4398860.92413,0,"53"
"28",408131.938749,4374052.42081,0,"54"
"29",397228.143462,4395320.73262,0,"55"
"30",213404.835844,4236311.7288,0,"56"
"31",223218.610039,4242569.74097,0,"57"
"32",207671.251224,4228109.74666,0,"58"
"33",154332.988217,4252609.29356,0,"59"
"34",249479.744248,4269662.82634,0,"60"
"35",257637.307844,4257115.16665,0,"61"
"36",344710.178137,4387757.02395,0,"62"
"37",335125.186213,4409396.21828,0,"63"
"38",322539.168165,4372505.25655,0,"64"
"39",339930.557255,4382601.11225,0,"65"
"40",338545.522532,4385752.19475,0,"66"
"41",324683.19808,4418065.81313,0,"67"
"42",212750.559008,4219909.53731,0,"68"
"43",228635.460504,4197657.54826,0,"69"
"44",226712.748989,4197279.98137,0,"70"
"45",202068.414518,4200821.61047,0,"71"
"46",196119.01349,4204530.05705,0,"72"
"47",175492.246238,4214949.0715,0,"73"
"48",413378.201662,4296296.479,0,"74"
"49",407731.468791,4285790.88463,0,"75"
"50",412520.613675,4298415.65857,0,"76"
"51",379290.813583,4290538.61616,0,"77"
"52",378431.74132,4317554.01636,0,"78"
"53",411979.003297,4291325.10585,0,"79"
"54",229994.62848,4307182.96682,0,"80"
"55",210226.339814,4299100.33941,0,"81"
"56",260789.484942,4323571.93439,0,"82"
"57",262140.299189,4310219.11564,0,"83"
"58",250739.236453,4322419.20772,0,"84"
"59",254281.160671,4307381.34283,0,"85"
"60",317603.748983,4395373.58348,0,"86"
"61",303342.193173,4378851.95599,0,"87"
"62",207020.543152,4368210.4954,0,"88"
"63",207855.459683,4394262.35867,0,"89"
"64",260785.989633,4399323.54832,0,"90"
"65",170319.40037,4392222.74001,0,"91"
"66",338502.259335,4167621.58498,0,"92"
"67",319934.990962,4172209.36393,0,"93"
"68",342251.450639,4165709.04695,0,"94"
"69",321765.2145,4163482.96964,0,"95"
"70",325585.70239,4169456.98762,0,"96"
"71",266574.894737,4224071.35008,0,"97"
"72",244047.19798,4230288.76058,0,"98"
"73",247727.129424,4245604.14107,0,"99"
"74",252308.592314,4238560.55659,0,"100"
"75",251729.516906,4233115.72188,0,"101"
"76",260596.131732,4212525.79039,0,"102"
"77",300112.344082,4212985.00711,0,"103"
"78",313854.68805,4205703.48131,0,"104"
"79",316087.747857,4209537.03702,0,"105"
"80",282901.761403,4222823.01904,0,"106"
"81",300608.4557,4200010.89309,0,"107"
"82",296040.12438,4144814.9356,0,"108"
"83",398562.747061,4357720.43358,0,"109"
"84",375194.502695,4329206.53739,0,"110"
"85",389985.519379,4324981.26493,0,"111"
"86",395866.342612,4324763.71478,0,"112"
"87",383745.331153,4340208.19129,0,"113"
"88",375367.068234,4336552.76522,0,"114"
"89",286041.113069,4241833.44157,0,"115"
"90",330534.734412,4299222.5843,0,"116"
"91",349537.545851,4288860.81379,0,"117"
"92",338866.986914,4314590.67935,0,"118"
"93",277660.88811,4228971.07129,0,"119"
"94",337683.577989,4274013.05572,0,"120"
"95",195031.719079,4357801.79538,0,"121"
"96",166845.096479,4331342.12293,0,"122"
"97",190724.862332,4351108.24366,0,"123"
"98",173183.396332,4323133.98721,0,"124"
"99",212835.609553,4318830.80282,0,"125"
